SPECIES_LU_VERSION; ISGS Species List
TERMS_AND_CONDITIONS; Free to use, cite original source
SPECIES_NR;NAME;GENUS;SPECIES;AUTHOR;SYNONYM;VALID_NR;VALID_NAME;SECUNDUM
1;Acer pseudoplatanus;Acer;pseudoplatanus;NA;FALSE;1;Acer pseudoplatanus;NA
2;Acer sp.;Acer;sp.;NA;FALSE;2;Acer sp.;NA
3;Achillea millefolium;Achillea;millefolium;NA;FALSE;3;Achillea millefolium;NA
4;Achillea ptarmica;Achillea;ptarmica;NA;FALSE;4;Achillea ptarmica;NA
5;Adelanthus decipiens;Adelanthus;decipiens;NA;FALSE;5;Adelanthus decipiens;NA
6;Agrimonia eupatoria;Agrimonia;eupatoria;NA;FALSE;6;Agrimonia eupatoria;NA
7;Agrostis canina;Agrostis;canina;NA;FALSE;7;Agrostis canina;NA
8;Agrostis capillaris;Agrostis;capillaris;NA;FALSE;8;Agrostis capillaris;NA
9;Agrostis gigantea;Agrostis;gigantea;NA;FALSE;9;Agrostis gigantea;NA
10;Agrostis stolonifera;Agrostis;stolonifera;NA;FALSE;10;Agrostis stolonifera;NA
11;Agrostis vinealis;Agrostis;vinealis;NA;FALSE;11;Agrostis vinealis;NA
12;Aira caryophyllea;Aira;caryophyllea;NA;FALSE;12;Aira caryophyllea;NA
13;Aira praecox;Aira;praecox;NA;FALSE;13;Aira praecox;NA
14;Ajuga reptans;Ajuga;reptans;NA;FALSE;14;Ajuga reptans;NA
15;Alchemilla alpina;Alchemilla;alpina;NA;FALSE;15;Alchemilla alpina;NA
16;Alchemilla filicaulis;Alchemilla;filicaulis;NA;FALSE;16;Alchemilla filicaulis;NA
17;Alchemilla filicaulis s. vestita;Alchemilla;filicaulis s. vestita;NA;FALSE;17;Alchemilla filicaulis s. vestita;NA
18;Alchemilla glabra;Alchemilla;glabra;NA;FALSE;18;Alchemilla glabra;NA
19;Alchemilla xanthochlora;Alchemilla;xanthochlora;NA;FALSE;19;Alchemilla xanthochlora;NA
20;Alisma lanceolatum;Alisma;lanceolatum;NA;FALSE;20;Alisma lanceolatum;NA
21;Alisma plantago-aquatica;Alisma;plantago-aquatica;NA;FALSE;21;Alisma plantago-aquatica;NA
22;Allium sp.;Allium;sp.;NA;FALSE;22;Allium sp.;NA
23;Allium vineale;Allium;vineale;NA;FALSE;23;Allium vineale;NA
24;Alnus glutinosa;Alnus;glutinosa;NA;FALSE;24;Alnus glutinosa;NA
25;Alopecurus geniculatus;Alopecurus;geniculatus;NA;FALSE;25;Alopecurus geniculatus;NA
26;Alopecurus pratensis;Alopecurus;pratensis;NA;FALSE;26;Alopecurus pratensis;NA
27;Amblystegium humile;Amblystegium;humile;NA;FALSE;27;Amblystegium humile;NA
28;Amblystegium serpens;Amblystegium;serpens;NA;FALSE;28;Amblystegium serpens;NA
29;Amblystegium varium;Amblystegium;varium;NA;FALSE;29;Amblystegium varium;NA
30;Anacamptis pyramidalis;Anacamptis;pyramidalis;NA;FALSE;30;Anacamptis pyramidalis;NA
31;Anagallis arvensis;Anagallis;arvensis;NA;FALSE;31;Anagallis arvensis;NA
32;Anagallis minima;Anagallis;minima;NA;FALSE;32;Anagallis minima;NA
33;Anagallis tenella;Anagallis;tenella;NA;FALSE;33;Anagallis tenella;NA
34;Andreaea alpina;Andreaea;alpina;NA;FALSE;34;Andreaea alpina;NA
35;Andreaea rothii;Andreaea;rothii;NA;FALSE;35;Andreaea rothii;NA
36;Anemone nemorosa;Anemone;nemorosa;NA;FALSE;36;Anemone nemorosa;NA
37;Aneura pinguis;Aneura;pinguis;NA;FALSE;37;Aneura pinguis;NA
38;Angelica sylvestris;Angelica;sylvestris;NA;FALSE;38;Angelica sylvestris;NA
39;Anisantha sterilis;Anisantha;sterilis;NA;FALSE;39;Anisantha sterilis;NA
40;Anoectangium aestivum;Anoectangium;aestivum;NA;FALSE;40;Anoectangium aestivum;NA
41;Anomobryum julaceum;Anomobryum;julaceum;NA;FALSE;41;Anomobryum julaceum;NA
42;Anomodon viticulosus;Anomodon;viticulosus;NA;FALSE;42;Anomodon viticulosus;NA
43;Antennaria dioica;Antennaria;dioica;NA;FALSE;43;Antennaria dioica;NA
44;Anthoceros punctatus;Anthoceros;punctatus;NA;FALSE;44;Anthoceros punctatus;NA
45;Anthoceros sp.;Anthoceros;sp.;NA;FALSE;45;Anthoceros sp.;NA
46;Anthoxanthum odoratum;Anthoxanthum;odoratum;NA;FALSE;46;Anthoxanthum odoratum;NA
47;Anthriscus sylvestris;Anthriscus;sylvestris;NA;FALSE;47;Anthriscus sylvestris;NA
48;Anthyllis vulneraria;Anthyllis;vulneraria;NA;FALSE;48;Anthyllis vulneraria;NA
49;Aphanes arvensis;Aphanes;arvensis;NA;FALSE;49;Aphanes arvensis;NA
50;Apium inundatum;Apium;inundatum;NA;FALSE;50;Apium inundatum;NA
51;Apium nodiflorum;Apium;nodiflorum;NA;FALSE;51;Apium nodiflorum;NA
52;Archidium alternifolium;Archidium;alternifolium;NA;FALSE;52;Archidium alternifolium;NA
53;Arenaria serpyllifolia;Arenaria;serpyllifolia;NA;FALSE;53;Arenaria serpyllifolia;NA
54;Armeria maritima;Armeria;maritima;NA;FALSE;54;Armeria maritima;NA
55;Arrhenatherum elatius;Arrhenatherum;elatius;NA;FALSE;55;Arrhenatherum elatius;NA
56;Arrhenatherum elatius;Arrhenatherum;elatius;NA;FALSE;56;Arrhenatherum elatius;NA
57;Artemisia absinthium;Artemisia;absinthium;NA;FALSE;57;Artemisia absinthium;NA
58;Asperula cynanchica;Asperula;cynanchica;NA;FALSE;58;Asperula cynanchica;NA
59;Asplenium adiantum-nigrum;Asplenium;adiantum-nigrum;NA;FALSE;59;Asplenium adiantum-nigrum;NA
60;Asplenium ruta-muraria;Asplenium;ruta-muraria;NA;FALSE;60;Asplenium ruta-muraria;NA
61;Asplenium trichomanes;Asplenium;trichomanes;NA;FALSE;61;Asplenium trichomanes;NA
62;Asplenium viride;Asplenium;viride;NA;FALSE;62;Asplenium viride;NA
63;Aster tripolium;Aster;tripolium;NA;FALSE;63;Aster tripolium;NA
64;Athyrium filix-femina;Athyrium;filix-femina;NA;FALSE;64;Athyrium filix-femina;NA
65;Atrichum tenellum;Atrichum;tenellum;NA;FALSE;65;Atrichum tenellum;NA
66;Atrichum undulatum;Atrichum;undulatum;NA;FALSE;66;Atrichum undulatum;NA
67;Atriplex prostrata;Atriplex;prostrata;NA;FALSE;67;Atriplex prostrata;NA
68;Aulacomnium palustre;Aulacomnium;palustre;NA;FALSE;68;Aulacomnium palustre;NA
69;Aulacomnium sp.;Aulacomnium;sp.;NA;FALSE;69;Aulacomnium sp.;NA
70;Avena sativa;Avena;sativa;NA;FALSE;70;Avena sativa;NA
71;Barbilophozia floerkei;Barbilophozia;floerkei;NA;FALSE;71;Barbilophozia floerkei;NA
72;Barbula convoluta;Barbula;convoluta;NA;FALSE;72;Barbula convoluta;NA
73;Barbula unguiculata;Barbula;unguiculata;NA;FALSE;73;Barbula unguiculata;NA
74;Bazzania tricrenata;Bazzania;tricrenata;NA;FALSE;74;Bazzania tricrenata;NA
75;Bellis perennis;Bellis;perennis;NA;FALSE;75;Bellis perennis;NA
76;Betula pubescens;Betula;pubescens;NA;FALSE;76;Betula pubescens;NA
77;Bidens cernua;Bidens;cernua;NA;FALSE;77;Bidens cernua;NA
78;Bidens tripartita;Bidens;tripartita;NA;FALSE;78;Bidens tripartita;NA
79;Blackstonia perfoliata;Blackstonia;perfoliata;NA;FALSE;79;Blackstonia perfoliata;NA
80;Blasia pusilla;Blasia;pusilla;NA;FALSE;80;Blasia pusilla;NA
81;Blechnum spicant;Blechnum;spicant;NA;FALSE;81;Blechnum spicant;NA
82;Blepharostoma trichophyllum;Blepharostoma;trichophyllum;NA;FALSE;82;Blepharostoma trichophyllum;NA
83;Blindia acuta;Blindia;acuta;NA;FALSE;83;Blindia acuta;NA
84;Brachypodium pinnatum;Brachypodium;pinnatum;NA;FALSE;84;Brachypodium pinnatum;NA
85;Brachypodium sp.;Brachypodium;sp.;NA;FALSE;85;Brachypodium sp.;NA
86;Brachypodium sylvaticum;Brachypodium;sylvaticum;NA;FALSE;86;Brachypodium sylvaticum;NA
87;Brachythecium albicans;Brachythecium;albicans;NA;FALSE;87;Brachythecium albicans;NA
88;Brachythecium glareosum;Brachythecium;glareosum;NA;FALSE;88;Brachythecium glareosum;NA
89;Brachythecium mildeanum;Brachythecium;mildeanum;NA;FALSE;89;Brachythecium mildeanum;NA
90;Brachythecium populeum;Brachythecium;populeum;NA;FALSE;90;Brachythecium populeum;NA
91;Brachythecium rivulare;Brachythecium;rivulare;NA;FALSE;91;Brachythecium rivulare;NA
92;Brachythecium rutabulum;Brachythecium;rutabulum;NA;FALSE;92;Brachythecium rutabulum;NA
93;Brachythecium sp.;Brachythecium;sp.;NA;FALSE;93;Brachythecium sp.;NA
94;Brachythecium velutinum;Brachythecium;velutinum;NA;FALSE;94;Brachythecium velutinum;NA
95;Breutelia chrysocoma;Breutelia;chrysocoma;NA;FALSE;95;Breutelia chrysocoma;NA
96;Briza media;Briza;media;NA;FALSE;96;Briza media;NA
97;Bromopsis erecta;Bromopsis;erecta;NA;FALSE;97;Bromopsis erecta;NA
98;Bromopsis ramosa;Bromopsis;ramosa;NA;FALSE;98;Bromopsis ramosa;NA
99;Bromus commutatus;Bromus;commutatus;NA;FALSE;99;Bromus commutatus;NA
100;Bromus hordeaceus;Bromus;hordeaceus;NA;FALSE;100;Bromus hordeaceus;NA
101;Bromus hordeaceus s. hordeaceus;Bromus;hordeaceus s. hordeaceus;NA;FALSE;101;Bromus hordeaceus s. hordeaceus;NA
102;Bromus lepidus;Bromus;lepidus;NA;FALSE;102;Bromus lepidus;NA
103;Bromus racemosus;Bromus;racemosus;NA;FALSE;103;Bromus racemosus;NA
104;Bromus sp.;Bromus;sp.;NA;FALSE;104;Bromus sp.;NA
105;Bryoerythrophyllum ferruginascens;Bryoerythrophyllum;ferruginascens;NA;FALSE;105;Bryoerythrophyllum ferruginascens;NA
106;Bryoerythrophyllum recurvirostrum;Bryoerythrophyllum;recurvirostrum;NA;FALSE;106;Bryoerythrophyllum recurvirostrum;NA
107;Bryum argenteum;Bryum;argenteum;NA;FALSE;107;Bryum argenteum;NA
108;Bryum capillare;Bryum;capillare;NA;FALSE;108;Bryum capillare;NA
109;Bryum capillare;Bryum;capillare;NA;FALSE;109;Bryum capillare;NA
110;Bryum klinggraeffii;Bryum;klinggraeffii;NA;FALSE;110;Bryum klinggraeffii;NA
111;Bryum pallens;Bryum;pallens;NA;FALSE;111;Bryum pallens;NA
112;Bryum pseudotriquetrum;Bryum;pseudotriquetrum;NA;FALSE;112;Bryum pseudotriquetrum;NA
113;Bryum pseudotriquetrum;Bryum;pseudotriquetrum;NA;FALSE;113;Bryum pseudotriquetrum;NA
114;Bryum radiculosum;Bryum;radiculosum;NA;FALSE;114;Bryum radiculosum;NA
115;Bryum rubens;Bryum;rubens;NA;FALSE;115;Bryum rubens;NA
116;Bryum ruderale;Bryum;ruderale;NA;FALSE;116;Bryum ruderale;NA
117;Bryum sauteri;Bryum;sauteri;NA;FALSE;117;Bryum sauteri;NA
118;Bryum sp.;Bryum;sp.;NA;FALSE;118;Bryum sp.;NA
119;Bryum subapiculatum;Bryum;subapiculatum;NA;FALSE;119;Bryum subapiculatum;NA
120;Calliergon cordifolium;Calliergon;cordifolium;NA;FALSE;120;Calliergon cordifolium;NA
121;Calliergon giganteum;Calliergon;giganteum;NA;FALSE;121;Calliergon giganteum;NA
122;Calliergon stramineum;Calliergon;stramineum;NA;FALSE;122;Calliergon stramineum;NA
123;Calliergonella cuspidata;Calliergonella;cuspidata;NA;FALSE;123;Calliergonella cuspidata;NA
124;Callitriche hamulata;Callitriche;hamulata;NA;FALSE;124;Callitriche hamulata;NA
125;Callitriche platycarpa;Callitriche;platycarpa;NA;FALSE;125;Callitriche platycarpa;NA
126;Callitriche sp.;Callitriche;sp.;NA;FALSE;126;Callitriche sp.;NA
127;Callitriche stagnalis;Callitriche;stagnalis;NA;FALSE;127;Callitriche stagnalis;NA
128;Calluna vulgaris;Calluna;vulgaris;NA;FALSE;128;Calluna vulgaris;NA
129;Caltha palustris;Caltha;palustris;NA;FALSE;129;Caltha palustris;NA
130;Calypogeia arguta;Calypogeia;arguta;NA;FALSE;130;Calypogeia arguta;NA
131;Calypogeia fissa;Calypogeia;fissa;NA;FALSE;131;Calypogeia fissa;NA
132;Calypogeia muelleriana;Calypogeia;muelleriana;NA;FALSE;132;Calypogeia muelleriana;NA
133;Calypogeia sp.;Calypogeia;sp.;NA;FALSE;133;Calypogeia sp.;NA
134;Calystegia sepium;Calystegia;sepium;NA;FALSE;134;Calystegia sepium;NA
135;Campanula rotundifolia;Campanula;rotundifolia;NA;FALSE;135;Campanula rotundifolia;NA
136;Campyliadelphus chrysophyllus;Campyliadelphus;chrysophyllus;NA;FALSE;136;Campyliadelphus chrysophyllus;NA
137;Campylium sp.;Campylium;sp.;NA;FALSE;137;Campylium sp.;NA
138;Campylium stellatum;Campylium;stellatum;NA;FALSE;138;Campylium stellatum;NA
139;Campylium stellatum;Campylium;stellatum;NA;FALSE;139;Campylium stellatum;NA
140;Campylopus atrovirens;Campylopus;atrovirens;NA;FALSE;140;Campylopus atrovirens;NA
141;Campylopus brevipilus;Campylopus;brevipilus;NA;FALSE;141;Campylopus brevipilus;NA
142;Campylopus flexuosus;Campylopus;flexuosus;NA;FALSE;142;Campylopus flexuosus;NA
143;Campylopus fragilis;Campylopus;fragilis;NA;FALSE;143;Campylopus fragilis;NA
144;Campylopus introflexus;Campylopus;introflexus;NA;FALSE;144;Campylopus introflexus;NA
145;Campylopus pyriformis;Campylopus;pyriformis;NA;FALSE;145;Campylopus pyriformis;NA
146;Campylopus setifolius;Campylopus;setifolius;NA;FALSE;146;Campylopus setifolius;NA
147;Campylopus sp.;Campylopus;sp.;NA;FALSE;147;Campylopus sp.;NA
148;Campylopus subulatus;Campylopus;subulatus;NA;FALSE;148;Campylopus subulatus;NA
149;Cardamine flexuosa;Cardamine;flexuosa;NA;FALSE;149;Cardamine flexuosa;NA
150;Cardamine hirsuta;Cardamine;hirsuta;NA;FALSE;150;Cardamine hirsuta;NA
151;Cardamine pratensis;Cardamine;pratensis;NA;FALSE;151;Cardamine pratensis;NA
152;Cardamine sp.;Cardamine;sp.;NA;FALSE;152;Cardamine sp.;NA
153;Carex acuta;Carex;acuta;NA;FALSE;153;Carex acuta;NA
154;Carex acutiformis;Carex;acutiformis;NA;FALSE;154;Carex acutiformis;NA
155;Carex aquatilis;Carex;aquatilis;NA;FALSE;155;Carex aquatilis;NA
156;Carex arenaria;Carex;arenaria;NA;FALSE;156;Carex arenaria;NA
157;Carex binervis;Carex;binervis;NA;FALSE;157;Carex binervis;NA
158;Carex canescens;Carex;canescens;NA;FALSE;158;Carex canescens;NA
159;Carex caryophyllea;Carex;caryophyllea;NA;FALSE;159;Carex caryophyllea;NA
160;Carex diandra;Carex;diandra;NA;FALSE;160;Carex diandra;NA
161;Carex dioica;Carex;dioica;NA;FALSE;161;Carex dioica;NA
162;Carex distans;Carex;distans;NA;FALSE;162;Carex distans;NA
163;Carex disticha;Carex;disticha;NA;FALSE;163;Carex disticha;NA
164;Carex divulsa;Carex;divulsa;NA;FALSE;164;Carex divulsa;NA
165;Carex echinata;Carex;echinata;NA;FALSE;165;Carex echinata;NA
166;Carex elata;Carex;elata;NA;FALSE;166;Carex elata;NA
167;Carex flacca;Carex;flacca;NA;FALSE;167;Carex flacca;NA
168;Carex hirta;Carex;hirta;NA;FALSE;168;Carex hirta;NA
169;Carex hostiana;Carex;hostiana;NA;FALSE;169;Carex hostiana;NA
170;Carex laevigata;Carex;laevigata;NA;FALSE;170;Carex laevigata;NA
171;Carex leporina;Carex;leporina;NA;FALSE;171;Carex leporina;NA
172;Carex nigra;Carex;nigra;NA;FALSE;172;Carex nigra;NA
173;Carex otrubae;Carex;otrubae;NA;FALSE;173;Carex otrubae;NA
174;Carex pallescens;Carex;pallescens;NA;FALSE;174;Carex pallescens;NA
175;Carex panicea;Carex;panicea;NA;FALSE;175;Carex panicea;NA
176;Carex paniculata;Carex;paniculata;NA;FALSE;176;Carex paniculata;NA
177;Carex pilulifera;Carex;pilulifera;NA;FALSE;177;Carex pilulifera;NA
178;Carex pseudocyperus;Carex;pseudocyperus;NA;FALSE;178;Carex pseudocyperus;NA
179;Carex pulicaris;Carex;pulicaris;NA;FALSE;179;Carex pulicaris;NA
180;Carex remota;Carex;remota;NA;FALSE;180;Carex remota;NA
181;Carex riparia;Carex;riparia;NA;FALSE;181;Carex riparia;NA
182;Carex rostrata;Carex;rostrata;NA;FALSE;182;Carex rostrata;NA
183;Carex sp.;Carex;sp.;NA;FALSE;183;Carex sp.;NA
184;Carex vesicaria;Carex;vesicaria;NA;FALSE;184;Carex vesicaria;NA
185;Carex viridula;Carex;viridula;NA;FALSE;185;Carex viridula;NA
186;Carex viridula s. brachyrrhyncha;Carex;viridula s. brachyrrhyncha;NA;FALSE;186;Carex viridula s. brachyrrhyncha;NA
187;Carex viridula s. oedocarpa;Carex;viridula s. oedocarpa;NA;FALSE;187;Carex viridula s. oedocarpa;NA
188;Carex viridula s. viridula;Carex;viridula s. viridula;NA;FALSE;188;Carex viridula s. viridula;NA
189;Carex x;Carex;x;NA;FALSE;189;Carex x;NA
190;Carlina vulgaris;Carlina;vulgaris;NA;FALSE;190;Carlina vulgaris;NA
191;Carum verticillatum;Carum;verticillatum;NA;FALSE;191;Carum verticillatum;NA
192;Catapodium rigidum;Catapodium;rigidum;NA;FALSE;192;Catapodium rigidum;NA
193;Centaurea nigra;Centaurea;nigra;NA;FALSE;193;Centaurea nigra;NA
194;Centaurea scabiosa;Centaurea;scabiosa;NA;FALSE;194;Centaurea scabiosa;NA
195;Centaurium erythraea;Centaurium;erythraea;NA;FALSE;195;Centaurium erythraea;NA
196;Cephalozia bicuspidata;Cephalozia;bicuspidata;NA;FALSE;196;Cephalozia bicuspidata;NA
197;Cephalozia sp.;Cephalozia;sp.;NA;FALSE;197;Cephalozia sp.;NA
198;Cephaloziella divaricata;Cephaloziella;divaricata;NA;FALSE;198;Cephaloziella divaricata;NA
199;Cephaloziella hampeana;Cephaloziella;hampeana;NA;FALSE;199;Cephaloziella hampeana;NA
200;Cephaloziella rubella;Cephaloziella;rubella;NA;FALSE;200;Cephaloziella rubella;NA
201;Cephaloziella sp.;Cephaloziella;sp.;NA;FALSE;201;Cephaloziella sp.;NA
202;Cerastium arvense;Cerastium;arvense;NA;FALSE;202;Cerastium arvense;NA
203;Cerastium fontanum;Cerastium;fontanum;NA;FALSE;203;Cerastium fontanum;NA
204;Cerastium glomeratum;Cerastium;glomeratum;NA;FALSE;204;Cerastium glomeratum;NA
205;Ceratodon purpureus;Ceratodon;purpureus;NA;FALSE;205;Ceratodon purpureus;NA
206;Chamaemelum nobile;Chamaemelum;nobile;NA;FALSE;206;Chamaemelum nobile;NA
207;Chamerion angustifolium;Chamerion;angustifolium;NA;FALSE;207;Chamerion angustifolium;NA
208;Chiloscyphus pallescens;Chiloscyphus;pallescens;NA;FALSE;208;Chiloscyphus pallescens;NA
209;Chiloscyphus polyanthos;Chiloscyphus;polyanthos;NA;FALSE;209;Chiloscyphus polyanthos;NA
210;Chrysosplenium oppositifolium;Chrysosplenium;oppositifolium;NA;FALSE;210;Chrysosplenium oppositifolium;NA
211;Cicuta virosa;Cicuta;virosa;NA;FALSE;211;Cicuta virosa;NA
212;Cinclidotus fontinaloides;Cinclidotus;fontinaloides;NA;FALSE;212;Cinclidotus fontinaloides;NA
213;Cirriphyllum piliferum;Cirriphyllum;piliferum;NA;FALSE;213;Cirriphyllum piliferum;NA
214;Cirsium arvense;Cirsium;arvense;NA;FALSE;214;Cirsium arvense;NA
215;Cirsium dissectum;Cirsium;dissectum;NA;FALSE;215;Cirsium dissectum;NA
216;Cirsium palustre;Cirsium;palustre;NA;FALSE;216;Cirsium palustre;NA
217;Cirsium vulgare;Cirsium;vulgare;NA;FALSE;217;Cirsium vulgare;NA
218;Cladonia asahinae;Cladonia;asahinae;NA;FALSE;218;Cladonia asahinae;NA
219;Cladonia coniocraea;Cladonia;coniocraea;NA;FALSE;219;Cladonia coniocraea;NA
220;Cladonia fimbriata;Cladonia;fimbriata;NA;FALSE;220;Cladonia fimbriata;NA
221;Cladonia furcata;Cladonia;furcata;NA;FALSE;221;Cladonia furcata;NA
222;Cladonia humilis;Cladonia;humilis;NA;FALSE;222;Cladonia humilis;NA
223;Cladonia pocillum;Cladonia;pocillum;NA;FALSE;223;Cladonia pocillum;NA
224;Cladonia portentosa;Cladonia;portentosa;NA;FALSE;224;Cladonia portentosa;NA
225;Cladonia pyxidata;Cladonia;pyxidata;NA;FALSE;225;Cladonia pyxidata;NA
226;Cladonia rangiformis;Cladonia;rangiformis;NA;FALSE;226;Cladonia rangiformis;NA
227;Cladonia sp.;Cladonia;sp.;NA;FALSE;227;Cladonia sp.;NA
228;Climacium dendroides;Climacium;dendroides;NA;FALSE;228;Climacium dendroides;NA
229;Cochlearia danica;Cochlearia;danica;NA;FALSE;229;Cochlearia danica;NA
230;Cochlearia officinalis;Cochlearia;officinalis;NA;FALSE;230;Cochlearia officinalis;NA
231;Cochlearia sp.;Cochlearia;sp.;NA;FALSE;231;Cochlearia sp.;NA
232;Coeloglossum viride;Coeloglossum;viride;NA;FALSE;232;Coeloglossum viride;NA
233;Colchicum autumnale;Colchicum;autumnale;NA;FALSE;233;Colchicum autumnale;NA
234;Collema auriforme;Collema;auriforme;NA;FALSE;234;Collema auriforme;NA
